,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-06-08 07:00:00,1841.3297378462,1849.2684263448,1840.2966229495,1840.2966229495,1850.3422113084148,25
2023-06-08 10:30:00,1840.2966229495,1853.4027321911,1840.2966229495,1846.3130344038,1850.0322746234444,25
2023-06-08 14:00:00,1845.8003056693,1860.1747129764,1842.8334803276,1846.0361154492,1849.7248777638874,25
2023-06-08 17:30:00,1846.0361154492,1853.1135462847,1844.2066122081,1853.1135462847,1849.985544573181,25
2023-06-08 21:00:00,1853.4653954143,1853.4653954143,1846.2973446978,1846.2973446978,1849.7018368904594,25
2023-06-09 00:30:00,1846.2973446978,1848.7344999566,1831.1065452422,1838.8016194009,1848.863358622032,25
2023-06-09 04:00:00,1838.6974389951,1840.771616989,1834.37924835,1835.6041315693,1847.843418079514,25
2023-06-09 07:30:00,1835.504428595,1846.7405128831,1833.7471919961,1845.1338846794,1847.6349924333515,25
2023-06-09 11:00:00,1844.7094575175,1854.4403348261,1843.05028078,1850.2430989796,1847.8356160138324,25
2023-06-09 14:30:00,1850.2399743319,1851.4441522903,1840.5205740181,1841.9250187391,1847.380954685007,25
2023-06-09 18:00:00,1841.7436868864,1842.0603382216,1831.7210979286,1836.3898611505,1846.5354859515835,25
2023-06-09 21:30:00,1836.2874009843,1841.4226816659,1835.8738248303,1838.8943924577,1845.9477095289772,25
